,id,English Name,Genus,Location,Latitude,Longitude,Quality Score,Author Remarks,Recording Type,MP3 Download URL,Recording Name
428,546102,White-breasted Nuthatch,Sitta,"Kelley Point Park, North Portland, Multnomah County, Oregon",45.6496,-122.7636,no score,Nestlings in nest cavity. Adult feeding.,"adult, begging call, call, hatchling or nestling",//www.xeno-canto.org/546102/download,546102.mp3
429,546099,White-breasted Nuthatch,Sitta,"Kelley Point Park, North Portland, Multnomah County, Oregon",45.6496,-122.7636,no score,Nestlings in nest cavity.,"begging call, hatchling or nestling",//www.xeno-canto.org/546099/download,546099.mp3
430,546098,White-breasted Nuthatch,Sitta,"Kelley Point Park, North Portland, Multnomah County, Oregon",45.6496,-122.7636,no score,Nestlings in nest cavity. Adult feeding.,"adult, begging call, call, hatchling or nestling",//www.xeno-canto.org/546098/download,546098.mp3
431,546095,White-breasted Nuthatch,Sitta,"Willamette Bluff, North Portland, Multnomah County, Oregon",45.5649,-122.6984,no score,,"adult, call",//www.xeno-canto.org/546095/download,546095.mp3
432,546094,White-breasted Nuthatch,Sitta,"Willamette Bluff, North Portland, Multnomah County, Oregon",45.5649,-122.6984,no score,,"adult, call",//www.xeno-canto.org/546094/download,546094.mp3
433,546092,White-breasted Nuthatch,Sitta,"Kelley Point Park, North Portland, Multnomah County, Oregon",45.6496,-122.7636,no score,Nestlings in nest cavity and adult feeding.,"adult, begging call, call, hatchling or nestling",//www.xeno-canto.org/546092/download,546092.mp3
434,540312,White-breasted Nuthatch,Sitta,"Kelley Point Park, North Portland, Multnomah County, Oregon",45.6496,-122.7636,no score,,"adult, call",//www.xeno-canto.org/540312/download,540312.mp3
435,540311,White-breasted Nuthatch,Sitta,"Kelley Point Park, North Portland, Multnomah County, Oregon",45.6496,-122.7636,no score,,"adult, call",//www.xeno-canto.org/540311/download,540311.mp3
436,386884,White-breasted Nuthatch,Sitta,"Portland, Multnomah County, Oregon",45.5133,-122.5922,no score,"Calling from big leaf maple, about 50' from me. This is not the expected subspecies at the location.",call,//www.xeno-canto.org/386884/download,386884.mp3
437,443282,White-breasted Nuthatch,Sitta,"Spring Creek Rd, Wallowa County, Oregon",45.3695,-117.3175,A,'rapid quank' calls (see Pandolfino & Pieplow 2015. West. Birds 46:276),"call, song",//www.xeno-canto.org/443282/download,443282.mp3
438,443280,White-breasted Nuthatch,Sitta,"Spring Creek Rd, Wallowa County, Oregon",45.3695,-117.3175,B,typical song of this subspecies,song,//www.xeno-canto.org/443280/download,443280.mp3
439,482568,Brown Creeper,Certhia,"Twin Springs Forest Camp, Lake County, Oregon",42.1571,-120.2118,A,"Bird was perched unseen in some aspen trees in the wet end of the campground. I'm thinking American Yellow Warbler, but the call's a bit different than I'm used to hearing so I just want to make sure",song,//www.xeno-canto.org/482568/download,482568.mp3
440,330653,Grey Catbird,Dumetella,"La Grande, Union County, Oregon",45.2904,-118.3317,C,In riparian vegetation,song,//www.xeno-canto.org/330653/download,330653.mp3
441,318498,Sage Thrasher,Oreoscoptes,"Malheur NWR, Harney County, Oregon",43.2628,-118.9196,A,This bird had been calling from various locations within a 50 meter radius before settling on top of a piece of sage where this recording was made. The bird flew off at the end of the recording but continued to call in the area.,song,//www.xeno-canto.org/318498/download,318498.mp3
442,179913,Sage Thrasher,Oreoscoptes,"Diamond, Harney County, Oregon",43.2172,-118.8449,A,,song,//www.xeno-canto.org/179913/download,179913.mp3
443,12385,Varied Thrush,Ixoreus,"Mary's Peak, Coast Range, Oregon",,,C,,song,//www.xeno-canto.org/12385/download,12385.mp3
444,481709,Western Bluebird,Sialia,"William Finley NWR, Intertie Loop, Benton County, Oregon",44.4093,-123.338,no score,Large feeding flock. Recording amplified. High pass filter.,call,//www.xeno-canto.org/481709/download,481709.mp3
445,481708,Western Bluebird,Sialia,"William Finley NWR, Intertie Loop, Benton County, Oregon",44.4093,-123.338,no score,Large feeding flock. Recording amplified. High pass filter.,call,//www.xeno-canto.org/481708/download,481708.mp3
446,481707,Western Bluebird,Sialia,"William Finley NWR, Intertie Loop, Benton County, Oregon",44.4093,-123.338,no score,Large feeding flock. Recording amplified. High pass filter.,call,//www.xeno-canto.org/481707/download,481707.mp3
447,481706,Western Bluebird,Sialia,"William Finley NWR, Intertie Loop, Benton County, Oregon",44.4093,-123.338,no score,Large feeding flock. Recording amplified. High pass filter.,call,//www.xeno-canto.org/481706/download,481706.mp3
448,12086,Western Bluebird,Sialia,"Spring Creek Road near La Grande, Oregon",,,no score,series of call notes,call,//www.xeno-canto.org/12086/download,12086.mp3
449,441351,Mountain Bluebird,Sialia,"Opal City, Crooked River National Grasslands, Jefferson County, Oregon",44.4578,-121.12,no score,Recording amplified. High pass filter. Noise reduced.,call,//www.xeno-canto.org/441351/download,441351.mp3
450,441350,Mountain Bluebird,Sialia,"Opal City, Crooked River National Grasslands, Jefferson County, Oregon",44.4578,-121.12,no score,Recording amplified. High pass filter. Noise reduced.,call,//www.xeno-canto.org/441350/download,441350.mp3
451,441349,Mountain Bluebird,Sialia,"Opal City, Crooked River National Grasslands, Jefferson County, Oregon",44.4578,-121.12,no score,Recording amplified. High pass filter. Noise reduced.,call,//www.xeno-canto.org/441349/download,441349.mp3
452,441348,Mountain Bluebird,Sialia,"Opal City, Crooked River National Grasslands, Jefferson County, Oregon",44.4578,-121.12,no score,Recording amplified. High pass filter. Noise reduced.,call,//www.xeno-canto.org/441348/download,441348.mp3
